Subject,Sex,YOB,Marital Status,Sexual Orientation,Education,Race,Neighborhood,State,Income,Children,Grandchildren,Child 1,Child 2,Child 3,Child 4,Child 5,Encourage,Custody1,Vote,Party,National,State.2,Local,No Participation,Federal Legislators,State Legislators,Local Government,Grassroots,Town Meetings,Special Events,Public Spokesperson,Active Lobbier,Active Campaigning,Public Office,Space,Environment,Health,Big Cities,Crime,Drug Addiction,Blacks,Military,Foreign Aid,Welfare,Highways,Social Security,Mass Transportation,Parks,The Arts,Aids,The Homeless,Education.2,Banks,Companies,Religion,Educ,Exec,Labor,The Press,Medicine,Television
1016,Female,1944,Married Legally,Heterosexual,College Diploma,White,Rural Community,Vermont,"$50,001 - $60,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Too Much,Too Little,Too Little,Right Amount,Don't Know,Too Little,Don't Know,Too Much,Too Much,Too Much,The Right Amount,The Right Amount,Too Little,The Right Amount,The Right Amount,Too Little,Too Little,Too Much,4,5,5,5,6,6,4,2,6
1017,Male,1916,Divorced,Gay,Professional or Technical School,White,Metropolitan Area,Colorado,"$60,001 - $70,000",Yes,Yes,Group for 230,Group for 228,Group for 227,0,0,Yes,No Children/Children Grown,Yes,Democrat,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Too Little,Too Little,Too Little,Too Little,Right Amount,Too Little,Too Little,Too Much,Too Much,The Right Amount,The Right Amount,The Right Amount,Too Little,The Right Amount,The Right Amount,Too Little,Too Little,The Right Amount,6,5,6,4,3,5,6,5,6
1018,Female,1947,Married Legally,Heterosexual,College Diploma,White,Secluded Rural,California,"$30,001 - $40,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Right Amount,Too Little,Too Much,Too Much,Too Much,The Right Amount,Too Little,Too Little,The Right Amount,Too Little,Too Little,Too Little,Too Little,4,7,7,3,4,3,4,7,7
1019,Female,1947,Never Married,Heterosexual,College Diploma,N/A,Metropolitan Area,New York,"Above $100,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Liberal Party,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Too Little,Too Little,The Right Amount,Don't Know,Too Much,Too Much,Don't Know,Too Much,Too Much,The Right Amount,Too Little,Too Much,The Right Amount,Too Little,Too Little,Don't Know,Too Much,Too Little,3,2,7,6,6,5,7,6,7
1020,Male,1923,Married Legally,Heterosexual,Post-Graduate Degree,White,Suburb,New York,"Above $100,000",Yes,No,Group for 222,Group for 0,Group for 0,0,0,Not Applicable,Not a single parent,Yes,NYS Choice Party,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Too Little,Don't Know,Too Little,Too Little,Don't Know,Don't Know,Too Little,Too Little,Too Little,7,7,6,4,6,6,6,6,7
1021,Female,1934,Separated,Heterosexual,Some College,White,Metropolitan Area,Pennsylvania ,"$20,001 - $30,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,6,5,5,3,6,9,5,3,3
1022,Male,1930,Married Legally,Heterosexual,College Diploma,White,Metropolitan Area,Indiana,"$20,001 - $30,000",Yes,Yes,Group for 220,Group for 118,Group for 0,0,0,Yes,Primary Custody,Yes,Green Party,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Little,Too Little,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,7,7,7,4,7,4,7,4,7
1023,Male,1941,Never Married,Gay,Some College,White,Metropolitan Area,California,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Green Party,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Much,Don't Know,Too Much,Too Little,Don't Know,Too Much,Too Much,Too Much,Too Little,The Right Amount,Too Little,Too Little,The Right Amount,Too Little,Too Little,Too Little,6,6,7,6,7,7,7,6,7
1024,Female,1947,Live with Lover,Heterosexual,High School Diploma,White,Large Town,New Hampshire,"Less than $10,000",Yes,No,Group for 206,Group for 0,Group for 0,0,0,Yes,Joint Custody,Yes,Independent,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Too Much,Too Much,Too Much,Don't Know,Too Little,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,5,6,2,4,7,5,6,7,6
1025,Male,1946,Divorced,Heterosexual,No Response,White,Other,Pennsylvania ,"$50,001 - $60,000",Yes,No,Group for 208,Group for 0,Group for 0,0,0,Yes,Primary Custody,Yes,Independent,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Right Amount,Too Much,Too Much,Too Much,The Right Amount,Too Little,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,4,4,7,7,7,6,3,3,6
1026,Female,1934,Married Legally,Heterosexual,Some College,White,Suburb,Washington ,"$40,001 - $50,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Too Little,Too Little,Don't Know,Too Little,Don't Know,Don't Know,Don't Know,Too Much,Too Little,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Too Little,Don't Know,Too Little,Too Little,4,4,4,2,3,5,3,3,6
1027,Female,1945,Married Legally,Heterosexual,College Diploma,White,Small Town,California,"$20,001 - $30,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Green Party,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Too Much,Don't Know,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,6,6,7,4,4,5,5,4,4
1028,Female,1921,Live with Lover,Heterosexual,High School Diploma,White,Suburb,New Jersey,"$20,001 - $30,000",Yes,No,Group for 205,Group for 0,Group for 0,0,0,No Response,Joint Custody,Yes,Independent,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,The Right Amount,Too Much,Don't Know,Too Much,Too Little,Too Little,Too Little,Don't Know,Too Little,Too Little,Too Little,1,3,1,3,1,1,2,2,5
1029,Female,1941,Married Legally,Heterosexual,Some College,White,Rural Community,South Carolina,"$20,001 - $30,000",Yes,No,Group for 212,Group for 106,Group for 60,0,0,Yes,Not a single parent,Yes,Republican,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Don't Know,Too Little,Don't Know,Don't Know,Too Much,Too Much,Too Much,The Right Amount,Too Little,The Right Amount,Too Little,The Right Amount,The Right Amount,Don't Know,Too Little,4,4,7,5,7,6,7,5,4
1030,Female,1941,Married Legally,Heterosexual,Some College,White,No Response,Europe,"$30,001 - $40,000",Yes,No,Group for 215,Group for 213,Group for 110,203,0,Yes,Not a single parent,Yes,Democrat,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Too Much,Too Much,Too Little,Too Much,Too Little,Too Little,Too Little,Don't Know,Too Little,Too Little,6,6,7,6,6,6,7,5,6
1031,Female,1928,Married Legally,Heterosexual,Post-Graduate Degree,White,Secluded Rural,Ohio,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,No,Not Registered,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Too Little,Too Little,Too Little,Don't Know,Don't Know,Don't Know,Don't Know,Too Much,Too Much,Don't Know,Don't Know,Too Little,Don't Know,Too Little,Too Much,Too Little,Too Little,Don't Know,4,6,7,2,6,4,4,4,6
1032,Female,1931,Married Legally,Heterosexual,Post-Graduate Work,White,Suburb,Texas,"$70,001 - $100,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Too Little,Right Amount,Right Amount,Too Little,Too Much,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,5,4,4,3,5,5,6,6,6
1033,Female,1945,Never Married,Bisexual,Post-Graduate Degree,White,Metropolitan Area,Arizona,"$40,001 - $50,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Green Party,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,The Right Amount,The Right Amount,Too Little,Too Little,Right Amount,Right Amount,Right Amount,Too Much,Too Much,Too Much,The Right Amount,The Right Amount,Too Little,The Right Amount,Too Little,Too Little,The Right Amount,Too Little,4,4,4,4,4,6,5,4,7
1034,Male,1944,Married Legally,Heterosexual,College Diploma,White,Suburb,Washington,"Above $100,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,No,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Too Little,Too Little,The Right Amount,Too Much,Too Much,Too Much,Right Amount,Too Much,Too Much,Too Much,The Right Amount,Too Much,The Right Amount,Too Little,Too Much,Too Little,The Right Amount,Too Little,4,4,7,4,7,7,4,3,7
1035,Female,1945,Married Legally,Heterosexual,Some College,White,Suburb,Washington,"$70,001 - $100,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Too Little,Too Little,Right Amount,Too Little,Too Much,Too Much,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,7,7,7,3,7,5,5,2,6
1036,Female,1943,Married Ritually,Heterosexual,Some College,White,Suburb,Texas,"$10,000 - $20,000",Yes,No,Group for 111,Group for 0,Group for 0,0,0,No,Primary Custody,Yes,Independent,Yes,No,No,Yes,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Don't Know,The Right Amount,Too Little,Too Little,Too Little,Don't Know,No Response,The Right Amount,Too Much,Too Much,Don't Know,Too Little,Don't Know,The Right Amount,Too Little,The Right Amount,Too Little,Too Little,4,4,5,5,9,9,4,3,3
1037,Female,1952,Never Married,Heterosexual,Some College,N/A,Small Town,Oregon,"$20,001 - $30,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Too Much,Too Little,Don't Know,Don't Know,Don't Know,Too Little,Don't Know,Too Much,Too Much,Don't Know,Too Much,Too Much,Too Little,Too Much,Don't Know,The Right Amount,Too Little,Too Little,5,7,4,3,5,4,2,4,5
1038,Male,1918,Live with Lover,Heterosexual,Some College,White,Suburb,Florida,"$30,001 - $40,000",No Response,No Response,Group for 999,Group for 999,Group for 999,999,999,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,9,9,9,9,9,9,9,9,9
1039,Male,1936,Divorced,Heterosexual,College Diploma,N/A,Small Town,California,"$70,001 - $100,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Green Party,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No Response,Too Little,No Response,No Response,Too Much,Too Much,Too Little,Too Much,Too Much,No Response,No Response,No Response,No Response,No Response,Too Little,No Response,Too Little,Too Little,6,5,7,4,5,9,3,6,7
1040,Female,1945,Married Legally,Bisexual,Some College,N/A,Suburb,Florida,"$10,000 - $20,000",Yes,No,Group for 109,Group for 205,Group for 0,0,0,Yes,Primary Custody,Yes,Independent,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Too Little,Too Little,Too Little,Don't Know,Too Much,Right Amount,Right Amount,Too Much,Too Much,Too Much,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,Don't Know,Too Little,5,7,7,4,7,5,2,7,7
1041,Female,1947,Never Married,Heterosexual,Post-Graduate Work,White,Metropolitan Area,California,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,The Right Amount,Too Little,Don't Know,Don't Know,Don't Know,Too Little,Too Little,Too Much,Too Much,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,5,5,7,5,2,3,5,6,7
1042,Female,1954,Never Married,Bisexual,Some College,White,Suburb,New Jersey,"Less than $10,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Don't Know,Too Little,Too Little,Right Amount,Too Much,Too Much,Too Much,The Right Amount,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,The Right Amount,7,7,5,5,7,4,5,6,7
1043,Female,1916,Never Married,Heterosexual,Post-Graduate Degree,White,Rural Community,Arizona,"Less than $10,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Right Amount,Too Little,Too Little,Too Much,Too Much,Too Much,Too Much,The Right Amount,Too Little,Too Little,Too Little,Too Much,The Right Amount,Too Little,Too Much,3,4,7,6,6,7,7,5,7
1044,Female,1941,Married Legally,Bisexual,College Diploma,White,Suburb,Maryland,"$50,001 - $60,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No Response,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Don't Know,Too Much,Don't Know,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,6,6,3,2,3,4,5,3,6
1045,Male,1926,Married Legally,Heterosexual,College Diploma,White,Small Town,Michigan,"$20,001 - $30,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Too Little,Too Little,Too Little,Too Much,Right Amount,Too Much,Too Much,Too Much,Too Much,Too Much,Too Much,Too Little,Too Little,The Right Amount,The Right Amount,Too Little,The Right Amount,Too Much,7,7,7,7,7,7,7,7,6
1046,Female,1949,Never Married,Heterosexual,High School Diploma,White,Metropolitan Area,N/A,"$30,001 - $40,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Don't Know,Don't Know,Too Much,Too Much,Don't Know,The Right Amount,Don't Know,Don't Know,The Right Amount,The Right Amount,Too Little,Don't Know,Don't Know,4,3,6,7,6,4,6,2,7
1047,Female,1941,Married Legally,Heterosexual,Post-Graduate Work,White,Metropolitan Area,California,"$40,001 - $50,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Green Party,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Too Little,Don't Know,Don't Know,Too Little,Don't Know,Too Little,Too Little,Too Little,Too Little,4,6,7,7,6,5,4,6,3
1048,Female,1922,Married Legally,Heterosexual,Post-Graduate Work,White,Metropolitan Area,Illinois,"$60,001 - $70,000",Yes,No,Group for 232,Group for 227,Group for 223,219,210,No Response,No Response,Yes,Democrat,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,No Response,Too Little,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,6,6,5,6,6,4,4,5,6
1049,Male,1940,Live with Lover,Bisexual,Professional or Technical School,White,Metropolitan Area,Florida,"$30,001 - $40,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,The Right Amount,Don't Know,The Right Amount,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,5,7,7,7,5,7,5,7,7
1050,Male,1955,Never Married,No Response,Less Than High School,Native American,No Response,N/A,No Response,No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,No,Not Registered,No,No,No,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Don't Know,Too Little,Too Little,Don't Know,Don't Know,Right Amount,Too Little,Don't Know,Don't Know,Too Little,Don't Know,Don't Know,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,9,9,9,9,9,9,9,9,9
1051,Female,1938,Married Legally,Bisexual,College Diploma,White,Metropolitan Area,Washington,"$30,001 - $40,000",Yes,No,Group for 111,Group for 202,Group for 0,10,0,Yes,No Response,Yes,Independent,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Don't Know,Don't Know,The Right Amount,Too Little,The Right Amount,Too Little,Too Little,Too Little,Too Little,6,6,7,5,7,6,5,7,7
1052,Female,1945,Married Legally,Heterosexual,Professional or Technical School,White,Metropolitan Area,Texas,"$20,001 - $30,000",Yes,No,Group for 905,Group for 0,Group for 0,0,0,Yes,Not a single parent,Yes,Independent,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Too Much,Too Much,Too Much,Right Amount,Too Much,Too Much,Too Little,The Right Amount,Too Little,Too Little,Too Little,Don't Know,Too Little,Don't Know,Too Little,6,6,7,7,7,4,4,6,5
